# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             193   N   00001aa2   000085f2   00001aa6   ---        --------
             194   N   00001aa6   00004501   00001aa8   x11_a1     00000002
             195   N   00001aa8   00000073   00001aaa   x10_a0     00000000
             196   E   00001aaa   00000001   00000b40   mstatus    00001800
             196   E   00001aaa   00000001   00000b40   mepc       00001aaa
             196   E   00001aaa   00000001   00000b40   mcause     0000000b
             196   E   00001aaa   00000001   00000b40   mtval      00000000
             199   N   00000b40   000047a1   00000b44   x14_a4     0000000b
             200   N   00000b44   04f70263   00000b46   x15_a5     00000008
             201   N   00000b46   000047a5   00000b4a   ---        --------
             202   N   00000b4a   02f70f63   00000b4c   x15_a5     00000009
             203   N   00000b4c   000047ad   00000b50   ---        --------
             204   N   00000b50   02f70c63   00000b52   x15_a5     0000000b
             205   N   00000b52   47ad0837   00000b8a   ---        --------
             209   N   00000b8a   08370013   00001ae0   ---        --------
             212   N   00001ae0   61428293   00001ae4   x05_t0     fffffae0
             213   N   00001ae4   00008282   00001ae8   x05_t0     000000f4
             214   N   00001ae8   00000013   000000f4   ---        --------
             217   N   000000f4   0000006f   000000f8   ---        --------
             218   N   000000f8   ffffffff   000000f8   ---        --------
